,DK1-offshore,DK1-offshore,DK1-offshore,DK1-offshore,DK1-onshore,DK1-onshore,DK1-onshore,DK1-onshore,DK2-offshore,DK2-offshore,DK2-offshore,DK2-offshore,DK2-onshore,DK2-onshore,DK2-onshore,DK2-onshore
2024-09-16 07:00:00,8.865991830697538,71.43401621151577,112.75084041476737,157.58671497304704,36.320228612874644,95.70572809370105,138.0811278054233,175.71149747718744,4.874482594533902,67.31152775060201,93.56525020215935,124.13200719637098,11.963648726280297,24.08090982111247,34.345515072212834,48.28794461484182
2024-09-16 08:00:00,43.70927380000458,122.97650285158943,162.02185933278793,211.53997459003745,31.889042373423536,93.6934442748153,135.60888997857393,173.9645863663524,4.12570823180701,66.0191391378305,93.82520639721463,129.91505021898956,10.262944278180782,21.53787465219858,32.00761533600996,46.644347121348176
2024-09-16 09:00:00,65.6156070202376,168.7132887009999,209.33101062600178,262.84624783413597,31.69429605392895,99.39964369451172,144.8913713490134,187.95416123054548,3.682970646493004,61.70947722335427,89.61382090785588,128.2278102537141,7.333611717900624,17.688286758571138,28.74312842814959,44.211012253677495
2024-09-16 10:00:00,80.81529449029512,212.08125272629832,257.9279331524822,315.74231138613345,49.67391635859826,126.29787982859557,180.61299414922155,229.72884132907592,3.9260386240261624,59.370482984992236,87.58732634581094,128.11208181214454,7.0531691437421955,17.234292720392972,27.758192449184264,43.679630671849566
2024-09-16 11:00:00,89.78738045770214,241.9883726129682,292.18152343819906,353.3670185894089,66.37616401566663,145.91025528148532,204.35185204441916,260.03412382559134,3.777043802126215,61.64874119990833,93.15520243335862,140.56542497237513,10.758848596556163,23.357566580567152,33.52941892224385,48.78364981223842
2024-09-16 12:00:00,89.80732005375887,257.04220851614025,310.99676587817976,371.7719171890358,71.94480553890094,159.54431289341665,222.20397487578782,292.72088885659696,4.478944535610026,72.69683985355158,110.70560877570574,165.46589020278032,11.724352985178257,26.14008192878822,34.40130506315967,45.316104182055255
2024-09-16 13:00:00,70.58144198929705,274.74264687361006,332.4664212350897,393.9157591562655,75.00799408003309,175.4084379098573,242.108046665831,325.2296155732784,7.481644809790197,91.87405421510243,138.5008556689453,198.63356013460827,7.179759331366881,27.36700096827127,38.930608777762416,64.23077995077188
2024-09-16 14:00:00,73.95356146635254,295.5731291035585,357.77302147008936,420.1250752007488,80.11073561229045,195.17551238846113,268.53492375396195,365.39302374004615,11.348318691019614,115.68574454583552,168.4374681808166,230.00218900205482,11.408536168987553,35.30212979249586,48.782790293819744,72.04632420626228
2024-09-16 15:00:00,79.22697516184598,320.77001303227894,385.49227589153406,449.1684906749442,90.49623584371625,222.10188425296496,303.57546465760186,418.62076023560144,13.099344515181912,129.60752336940698,187.00395420788027,253.08914615966046,20.282421188022113,46.08815354113199,60.368610690466426,83.26980465135568
2024-09-16 16:00:00,85.54151999880264,345.4347562495998,412.3954943290146,478.21771842891303,107.22577657594093,249.97979025515997,337.3495558289562,469.4604329816867,12.670016174301992,129.15507087474612,188.98244739908716,262.3649294027075,25.015915544157565,52.73826905729197,67.47628863828083,89.56766530103323
2024-09-16 17:00:00,91.08034563499268,363.14310571233955,431.2430483088831,498.1801224748965,125.53652478387517,271.48706219750534,362.9877446791028,509.1574391917512,12.585902483016042,128.5830521774883,190.53648455439827,267.70569624029645,29.094706072294912,60.197604126021474,75.75847770852408,97.50203569820042
2024-09-16 18:00:00,91.25179465660477,367.7024613466988,435.95323485246854,503.029747280782,147.81162464910676,297.6468809458379,393.57235759728076,556.3792116420589,14.479479416691817,141.3708951857493,202.96813720306727,273.26785679825775,36.0369521275569,74.64655039210652,92.23425577897319,115.24477684488375
2024-09-16 19:00:00,89.2160852874656,357.4865662364716,423.2980901524538,486.9037854690787,165.42490617471435,324.5721533046626,425.6380509313244,601.0095805955046,17.214275861480303,164.7857276459191,224.37066910284295,283.09478106083543,42.96559020351776,90.02007934723292,110.2475350004936,136.15744800786752
2024-09-16 20:00:00,84.1682344745305,331.88234790835304,394.03957942699935,450.949426524975,172.51976935782523,335.60922012404853,437.2311913852193,617.815781359041,19.20552861512843,189.57989392483398,249.36452886251345,301.95984566236757,45.80155919109734,97.04082845711855,118.00899344322784,144.99921381642366
2024-09-16 21:00:00,80.51188244984826,306.52966279835016,363.05867870795873,416.18934140941656,172.03637544559933,327.8582445738434,422.9579215644271,600.0393078271031,18.87969704183766,197.79833786008817,260.8076845647728,315.4161967087714,46.15338719369515,97.7259215649492,118.7117759951525,144.8479910974106
2024-09-16 22:00:00,77.72198594449952,287.77081145439035,341.83989431670193,392.95885325395693,167.56068476546284,314.21339005432446,404.9976558358276,573.8612497398668,15.961339294240446,178.51596654430182,241.62293352454594,309.60635850135577,45.68913829078895,95.89057244807782,116.48837514101956,142.18404290162835
2024-09-16 23:00:00,58.93229073822471,206.59629686880476,248.90799089088478,291.6518546493676,120.11452139018684,204.14122254209087,264.16648356942073,358.74646325181334,10.731890405458188,135.0832479380855,192.82611134015144,268.1835781774787,38.791249491407484,78.74348619104762,96.10608869127554,116.38809943088086
2024-09-17 00:00:00,42.663324543515444,153.0109630298998,189.95607474893575,229.54497224793067,98.39826882347779,149.2982867503406,192.12363111251648,245.10349009849836,11.85318540560192,136.28205773434956,186.6398079809486,252.19979329106081,36.11570662887698,71.50326291767294,87.27043819617575,106.03947183530909
2024-09-17 01:00:00,35.74069381929115,131.6106452015265,166.81548720156263,207.47761642741057,97.31312947353445,133.24771238935682,169.88030377428322,208.3994598369088,14.021295856298224,148.80844600816033,193.9143713432136,246.89060040021423,36.332079356192025,71.11098874591312,86.28980823135862,104.42357678901772
2024-09-17 02:00:00,34.73283723673825,131.3702973413973,169.82514062404084,211.14021795567237,96.7320489229312,141.89636465942317,181.79665754412076,229.3867346100841,12.932662308349649,145.80206675814838,192.2684683294026,248.92400360672514,36.79928412035804,72.08341179383183,87.35374538355222,104.9464208913555
2024-09-17 03:00:00,40.72986906838264,148.52210510296538,187.34419498239333,229.62170698953014,100.61366037963103,156.60085517546906,203.75930407405792,266.5683818963756,10.812712761250765,133.52127924784486,180.17168965580697,243.70776247865638,37.47634523591762,73.6102963362041,88.892545448193,106.3928679889184
2024-09-17 04:00:00,43.7578269932809,156.51980356817387,194.10090361398386,235.74931402193306,108.26342564172046,167.71425939861388,218.50053866836902,290.61986961199455,9.17981905441988,121.29627884947092,169.12495114780597,235.9758847541907,39.17678531337663,77.7356416711184,93.01139463189884,111.57744969800933
2024-09-17 05:00:00,40.11718196065573,143.565597242197,180.21613145606727,217.78669281050406,118.17156969948587,161.33260931335258,212.2390512601371,282.8974039352832,8.9655324585124,119.47572019940174,167.0324042463859,233.58894592659294,41.176333422064204,82.73549787879256,98.7488277558748,118.07315190646227
2024-09-17 06:00:00,34.284174652269144,128.09050348433607,163.54503619817376,200.18762534762345,117.64421507287739,152.46959855462865,198.7691556444471,260.59876077513303,8.976204759689892,119.36812321811647,164.80682953713858,230.34736230879912,39.856538606010645,80.14576269216946,96.0014783002805,114.58758286015541
2024-09-17 07:00:00,28.051889685003573,117.66816161427425,153.01520835203064,186.66861833319945,110.41422651628181,136.3503892971986,173.880733811357,217.7111389275364,7.663562067234551,112.6472818052165,157.4241794304943,224.94965469380986,33.07291447335774,66.79726469093964,80.98680009926352,96.88839259116503
2024-09-17 08:00:00,21.295661313185462,101.45409843313087,136.42407437070176,169.95692722685044,50.29219956991676,101.3531324172485,127.48010497766688,149.3808572952205,7.932681713206989,112.51291219475911,155.07842516590824,220.16304042281672,21.071312361916966,44.20964738891894,56.334232162647254,68.77027458857492
2024-09-17 09:00:00,10.943146801428327,82.81841106533705,117.46585284250523,152.69125093966682,-52.744940497581865,64.83273749590569,83.96021505156534,92.43595537144668,8.394002504128451,115.21761199397031,157.40405638888376,222.40159952337353,9.833029339079985,26.52488447293615,38.29515075678046,49.6580876947138
2024-09-17 10:00:00,-1.87040017585241,66.76139021728216,104.87850964114386,143.1415233837904,-105.19938836623601,16.12024610854894,15.715577088290956,41.893056355010955,6.249583592911534,105.47697079331533,149.01498616555148,222.1825710288897,3.119989906930414,18.775395346250207,30.57398181921917,43.17385110070995
2024-09-17 11:00:00,-13.73312348557721,54.529962619019216,97.40719660408308,136.85246267198409,-68.32673632675744,5.149937691680918,-1.6844978270814295,25.997732168075757,3.4227424473604913,91.45587674882154,137.1977218854321,220.83372179971684,-0.38011917919527605,15.755080389595605,27.263740156030963,41.29943122500936
2024-09-17 12:00:00,-13.937805792105792,57.168412669326415,101.6183532942141,143.14814136741143,-34.05005517165296,11.62118978795138,5.042185690462986,31.4976499407256,2.5879743484219944,84.41601621217148,130.2296342107819,216.54824127056202,5.693816650310566,18.482340018839807,28.353781954783926,44.37728042193487
2024-09-17 13:00:00,0.4718629544221642,77.75003054912094,120.18819389704038,163.85797130517517,-33.174319090391464,18.87236691458247,10.286377009866385,36.811177197459216,2.5111997704106273,82.14102414415242,127.44361949186725,215.5972871659461,8.245515469325596,14.946849216608314,21.789944666399208,27.76202976167872
2024-09-17 14:00:00,18.69761571888492,108.86298339681662,149.781470866919,196.27371147732288,-32.01313496921057,24.155619558122112,18.255937450192903,36.33997966487139,2.987286478615715,83.76817193752959,128.60175201337677,217.22742648678127,8.574168987361674,18.904093314916963,25.504836542812484,29.675354037793568
2024-09-17 15:00:00,32.54597786329276,140.32579202438467,183.10733604525421,231.01977216771002,6.882461602369631,18.27025675439586,17.02373734458115,39.15758572216397,3.3122257981327152,84.17587879757332,129.3645537554944,219.2286167021732,9.077128610063426,19.85833344881712,26.429797564800595,30.718253169800505
2024-09-17 16:00:00,42.23103812062482,174.65053026577704,221.5075286235351,270.5175767756393,5.677178657417699,2.79514155287751,11.412234668378801,49.83434688266388,2.5935360790612094,76.05397510419755,124.07757208257442,218.59918164868043,8.21942817188949,15.362354778773295,21.387111595125646,25.93874414712309
2024-09-17 17:00:00,48.89398074183549,205.00891927049156,256.3738213481756,304.81240418267043,45.1249136414292,68.04004654260575,104.08673375012035,132.83992430868963,2.0171165466510956,67.97447644659371,116.85990044090295,213.0517774035627,7.379593258143473,21.933081983441866,29.932865781597343,48.45251268980485
2024-09-17 18:00:00,53.73444598327296,215.9105334913935,265.25897030883107,314.5514415948585,95.56519709329609,114.62820262145249,157.31282595253333,199.65200764644385,2.572348624753687,72.11031248130485,120.56498527193378,215.38704787812674,6.688175996088432,26.727441153100813,37.65245064532519,54.27604229599501
2024-09-17 19:00:00,52.97812082306035,203.21238294115847,248.42711420619844,296.3770434642172,102.96321698122074,145.25093878000837,199.98994304042492,272.72301112132374,4.7563915203967895,89.69049729811718,139.31618720107474,228.52683271496335,16.864585172895886,40.07698189951611,51.68383247400061,69.07160584795531
2024-09-17 20:00:00,44.51831241698119,171.66025941072894,211.2256702799366,256.5331857006504,105.07974637446887,162.23372764770045,223.209288422575,310.3500435822354,6.634745664903562,107.18129020964341,156.78726250602972,240.39914078503398,21.0522573866607,47.02362735868621,59.28714972608236,77.11685018418484
