,DK1-offshore,DK1-onshore,DK2-offshore,DK2-onshore
2024-07-29 13:00:00,13.920862138843026,463.00416575,5.595833333333334,91.1716665
2024-07-29 14:00:00,42.207754399627994,445.36750033333334,3.6033333333333335,93.0599995
2024-07-29 15:00:00,36.65207169884006,378.6158321666667,114.2533345,87.06833408333334
2024-07-29 16:00:00,38.712370018436296,268.94166816666666,87.88000033333333,69.85250008333334
2024-07-29 17:00:00,33.04523079149901,217.90333183333334,51.83166716666667,53.96833325
2024-07-29 18:00:00,22.000476070203472,190.5733325,47.950832999999996,37.82249975
2024-07-29 19:00:00,9.640006022908715,147.84666575,48.599166249999996,18.977500333333335
2024-07-29 20:00:00,48.19739195679376,146.65249891666667,44.548333500000005,15.042499999999999
2024-07-29 21:00:00,53.443106884183045,190.05250049999998,22.882499499999998,17.993333333333332
2024-07-29 22:00:00,56.95299902257803,196.89583341666665,1.4800000000000002,17.311666833333334
2024-07-29 23:00:00,45.473629938442535,182.96333333333334,0.002499999999999999,19.7425
2024-07-30 00:00:00,37.74949025397288,163.94833366666668,-0.011666666666666667,19.072499750000002
2024-07-30 01:00:00,31.23554505941356,164.78749733333333,4.908333333333333,16.30750025
2024-07-30 02:00:00,24.131341251494415,130.48666508333335,13.779166666666667,15.660833083333335
2024-07-30 03:00:00,28.49529590711425,118.3616675,6.474166666666666,12.234166666666667
2024-07-30 04:00:00,38.113537557266206,125.42833266666666,0.9791666666666666,11.636666666666665
2024-07-30 05:00:00,28.33701376264717,123.59833216666668,1.2408333333333335,10.424999999999999
2024-07-30 06:00:00,24.100344843478172,93.40833266666668,0.09083333333333334,10.0225
2024-07-30 07:00:00,27.496143748888194,50.26666641666666,-0.03333333333333333,9.715
2024-07-30 08:00:00,22.84794174213957,48.342500083333334,4.7275,11.112499999999999
2024-07-30 09:00:00,29.664600600668624,52.65583325,12.305833333333332,14.636666666666665
2024-07-30 10:00:00,26.112498663733728,48.24833375,11.300833333333335,17.113333166666667
2024-07-30 11:00:00,29.254388042878126,64.15999991666666,2.9725,17.116666833333333
2024-07-30 12:00:00,20.962412964761086,116.89,5.101666666666667,18.809166833333332
2024-07-30 13:00:00,11.16808242971389,127.27416558333334,2.46,19.999999916666667
2024-07-30 14:00:00,8.94752417172129,133.81750175,1.0833333333333333,22.183333416666667
2024-07-30 15:00:00,10.535615732530966,154.70499800000002,5.998333333333334,21.934166666666666
2024-07-30 16:00:00,18.286135609535183,160.21916583333334,4.8741666666666665,16.958333166666666
2024-07-30 17:00:00,25.54598254681319,171.42583358333331,6.964166666666666,14.065833166666666
2024-07-30 18:00:00,33.73771264268643,151.80833575,10.723333333333334,11.928333333333333
2024-07-30 19:00:00,41.074061867917024,129.66333191666666,10.900833333333333,10.848333333333334
2024-07-30 20:00:00,58.21133741827322,159.37583416666666,0.8316666666666667,10.643333333333333
2024-07-30 21:00:00,114.46262156514464,258.0233345,-0.0525,11.8975
2024-07-30 22:00:00,133.02641031854571,333.73833733333333,-0.05000000000000001,12.138333333333334
2024-07-30 23:00:00,151.15096737246415,390.9699934166667,-0.04,14.631666583333333
2024-07-31 00:00:00,158.27957245782758,386.62083691666663,0.011666666666666665,16.054166583333334
2024-07-31 01:00:00,182.30737145857015,344.1258315,0.5783333333333333,14.5575
2024-07-31 02:00:00,212.71325996069902,371.62166083333335,1.0008333333333332,16.388333333333332
2024-07-31 03:00:00,281.9587949846246,452.4691721666666,17.635,16.491666916666667
2024-07-31 04:00:00,301.7624529190515,532.4216665,53.5258335,19.9033335
2024-07-31 05:00:00,332.20132294364765,554.6558329166667,78.85833258333334,28.03166675
2024-07-31 06:00:00,431.4168042565513,566.380839,114.30833424999999,30.592500166666667
2024-07-31 07:00:00,476.5336477280952,849.5425009166667,78.39750149999999,34.005000333333335
2024-07-31 08:00:00,482.25091353509447,992.4233449166667,32.80666683333333,44.780000333333334
2024-07-31 09:00:00,433.69144547387214,952.8566691666666,10.8975,38.94500033333333
2024-07-31 10:00:00,363.40784305771217,876.1091662499999,27.066666583333333,45.69833308333333
2024-07-31 11:00:00,315.2407921573633,812.72584025,30.0658335,57.51666641666667
2024-07-31 12:00:00,251.97565236704318,722.7283373333333,26.740000416666664,69.66083308333333
2024-07-31 13:00:00,282.25491674960404,695.230835,41.01249958333333,69.92666658333333
2024-07-31 14:00:00,245.7103469123638,848.58583575,67.81999925000001,62.76416658333333
2024-07-31 15:00:00,237.5093816156001,903.13917025,85.61750024999999,59.19833333333333
2024-07-31 16:00:00,297.6458166161641,920.8325093333333,84.72333416666667,57.49166675
2024-07-31 17:00:00,364.80270278645264,980.2991690833333,85.85666725,50.149166
2024-07-31 18:00:00,435.66535174446165,933.5116678333334,82.14666633333333,32.39583325
2024-07-31 19:00:00,456.8282516399805,605.85166425,113.72249925,26.421666833333333
2024-07-31 20:00:00,486.9538499616548,434.23666375,133.57083375,33.637499999999996
2024-07-31 21:00:00,446.5458921266138,439.21749866666664,112.06500116666666,34.242499583333334
2024-07-31 22:00:00,373.6374508255444,433.15499883333337,48.55250083333333,36.40833241666667
