,DK1-offshore,DK1-offshore,DK1-offshore,DK1-onshore,DK1-onshore,DK1-onshore,DK2-offshore,DK2-offshore,DK2-offshore,DK2-onshore,DK2-onshore,DK2-onshore
,normal,cdf,original,normal,cdf,original,normal,cdf,original,normal,cdf,original
2024-07-16 20:00:00,-0.92541779381682,0.17737431327779501,316.44835033614186,0.06788203305067765,0.5270602293467008,424.7850011666667,-2.223058673573681,0.01310592191729198,33.64416625,-2.5582183020194527,0.005260501122084671,10.146666666666667
2024-07-16 21:00:00,-2.000347758598448,0.022731362653654268,201.71203187449635,-0.7404179765052821,0.22952320718516506,272.93250016666667,-0.9228851448298899,0.17803353143534195,0.4658333333333333,-1.6920261870376279,0.045320490357126784,9.071666666666667
2024-07-16 22:00:00,-2.1417592233755043,0.01610643113748031,140.7109789557811,-1.6589133437169883,0.04856662769662785,224.0800005,-1.3792699650620992,0.08390576666436422,-0.07,-2.924947429081766,0.0017225720928637214,8.873333333333333
2024-07-16 23:00:00,-1.6335566102074426,0.05117599243072289,130.21691443863696,-0.6703068420883382,0.2513311031802247,170.72416458333336,-1.062572792908005,0.14398786533725333,103.12833375000001,-2.634378787641645,0.0042145697046023405,19.13166658333333
2024-07-17 00:00:00,-0.16790036370675332,0.43333083199712225,162.03150571014638,-0.497495139969504,0.30941996464164534,183.199164,-1.0347559420157735,0.15039145159897657,116.39750033333333,-0.9499457279340792,0.17106991497379362,77.43166599999999
2024-07-17 01:00:00,0.06048252700038985,0.5241143340978841,192.7025140953348,-0.127755009177063,0.4491714278447302,233.11249916666665,-0.9855537430829968,0.16217607326371064,161.68916575,-1.3339794963924567,0.09110528812094038,56.37833341666666
2024-07-17 02:00:00,0.528120644238342,0.7012921984296598,263.28685027111453,0.23616427850519991,0.5933474014044797,245.31250258333333,-0.9898378058968214,0.16112670136705212,140.872502,-1.1667928781296864,0.12164701190171927,48.74499983333333
2024-07-17 03:00:00,1.9730492739602212,0.9757550256283744,268.22721561910623,0.24973031830957884,0.5986020448575272,187.60333375000002,-0.5539347695840999,0.28981174430161244,152.61499916666665,-1.3147126275492047,0.094303250535724,43.69750025
2024-07-17 04:00:00,2.327940734497744,0.9900423745664996,220.6642687469805,0.46163487812596116,0.6778284108023113,167.19916533333333,-0.498050989878038,0.3092240516277314,174.75166708333333,-1.3160368828933586,0.09408083181764945,62.456666250000005
2024-07-17 05:00:00,2.335815414640939,0.9902495680586669,203.55535019382842,0.3921752297193535,0.6525356275097112,155.31583283333333,-0.6301272475497702,0.2643056669144998,183.24666708333334,-1.5505502779133549,0.06050474785794695,53.87499966666667
2024-07-17 06:00:00,1.809887468418105,0.9648433800656664,203.9418220358471,0.4061622877479677,0.6576883192216253,133.134999,-0.5244699762760657,0.2999758484703445,222.6333324166667,-1.2716129504928921,0.10175533655481124,69.02583408333334
2024-07-17 07:00:00,0.6044351413456299,0.7272228109649626,178.99071385622094,-0.6352595945638105,0.26262956067588666,118.43083374999999,-0.06652247360346922,0.4734809329940055,357.36333458333337,-1.5722470763543037,0.057946630786736,62.845832333333334
