Minutes5DK,DK1-offshore,DK1-onshore,DK2-offshore,DK2-onshore
2022-10-18 00:00:00,968.3883361666667,1210.69418325,524.5491639166667,177.91833366666665
2022-10-18 01:00:00,995.7308349166666,1361.5041606666666,516.7675045833333,148.97750208333335
2022-10-18 02:00:00,1029.9858194166666,1601.9274901666668,407.22083275,130.96500083333333
2022-10-18 03:00:00,1023.613322,1660.3241680833332,372.00499483333334,136.91833375000002
2022-10-18 04:00:00,1045.5025025,1686.0924986666666,367.1875025,160.59166483333334
2022-10-18 05:00:00,1037.43500775,1638.9625041666666,390.3041635833333,176.55333191666668
2022-10-18 06:00:00,1056.0116628333333,1662.9091593333333,337.17249791666666,191.02416733333334
2022-10-18 07:00:00,1043.05584225,1680.6924743333332,320.37583416666666,175.04250075000002
2022-10-18 08:00:00,1050.90750125,1674.2491659999998,336.53666425,175.17416641666668
2022-10-18 09:00:00,1034.1425170833334,1602.8899944166667,399.10666399999997,174.50250241666666
2022-10-18 10:00:00,1044.8408355833333,1617.2324930833336,439.81916299999995,174.37416716666667
2022-10-18 11:00:00,1011.4691670000001,1791.5508423333333,316.52250408333333,188.375
2022-10-18 12:00:00,949.7033284166667,1616.3641661666668,339.44916525,216.44583266666666
2022-10-18 13:00:00,973.8724975,1982.9941609166665,428.9208298333333,244.41833499999998
2022-10-18 14:00:00,959.48582975,1762.0725098333332,482.3399988333333,283.29249825
2022-10-18 15:00:00,1012.2008362500001,1645.7324930833336,566.1408334166666,278.69999708333336
2022-10-18 16:00:00,1018.0841776666666,1775.9866535833335,531.5091705833333,286.9775035
2022-10-18 17:00:00,1057.3516590000002,1568.0000000833334,569.2358245833333,280.17083225
2022-10-18 18:00:00,1023.8250021666666,1189.380834,613.3716685,262.8366635
2022-10-18 19:00:00,1054.5833333333333,886.1099955,643.6374919166666,236.82333258333335
2022-10-18 20:00:00,1007.24833675,748.7783304166668,629.669993,238.37000016666664
2022-10-18 21:00:00,858.1433410833333,667.0916595,632.0833383333334,244.43999866666664
2022-10-18 22:00:00,911.1874999166666,587.1208345,644.6174978333333,215.45500049999998
2022-10-18 23:00:00,891.6891583333332,487.9924976666666,613.2466633333333,179.99583441666667
2022-10-19 00:00:00,925.0941670833332,419.62333433333333,578.9366606666666,179.57083383333335
2022-10-19 01:00:00,782.8700103333334,335.14916475,493.1108323333333,165.09750125000002
2022-10-19 02:00:00,581.105835,275.10584008333336,457.80916841666664,149.89166391666666
2022-10-19 03:00:00,491.5258281666667,216.96750275,382.7616679166667,140.9208335
2022-10-19 04:00:00,337.07333624999995,189.41749958333332,378.8083291666667,127.07249958333334
2022-10-19 05:00:00,169.86833441666667,188.20083475,313.477501,118.86833241666666
2022-10-19 06:00:00,99.69833375,127.65166783333332,323.1849975,118.1725005
2022-10-19 07:00:00,98.19500033333333,76.88416675,271.8116685,105.25166691666668
2022-10-19 08:00:00,110.73583358333333,87.48916625,219.77999875,76.35749991666667
2022-10-19 09:00:00,48.6808335,88.14083275,160.67583199999999,68.24000058333333
2022-10-19 10:00:00,28.291666833333334,73.62166725,143.59083425,79.45166591666667
2022-10-19 11:00:00,8.148333333333333,74.18833383333333,150.69666541666666,90.21833291666667
2022-10-19 12:00:00,5.620833333333334,64.12000033333334,141.25833575,79.07166541666668
2022-10-19 13:00:00,-2.9658333333333338,65.61416666666666,84.78416658333333,66.52999933333334
2022-10-19 14:00:00,2.4933333333333336,65.0716665,44.5841665,58.50499983333333
2022-10-19 15:00:00,33.218333666666666,65.71249925,30.413333166666664,51.59750091666666
2022-10-19 16:00:00,36.36249958333333,63.539999333333334,21.61,43.720000416666664
2022-10-19 17:00:00,22.99666691666667,55.072499916666665,15.43583325,35.615833333333335
2022-10-19 18:00:00,25.50166675,70.03250058333333,21.038333583333333,39.149167166666665
2022-10-19 19:00:00,42.724999833333335,123.76000158333333,22.527500083333333,37.59583308333333
2022-10-19 20:00:00,81.1608335,219.7891655,3.9,31.928333749999997
2022-10-19 21:00:00,191.17166525000002,320.2825036666666,2.3808333333333334,35.62999916666667
2022-10-19 22:00:00,260.4424985,470.93584200000004,0.9116666666666666,38.498334
2022-10-19 23:00:00,320.371671,566.1558329166667,0.7066666666666667,44.074999749999996
2022-10-20 00:00:00,367.89083108333335,638.7274933333333,13.210833083333334,56.67999983333333
2022-10-20 01:00:00,439.43916583333333,735.7133331666668,29.527499666666667,55.884999916666665
2022-10-20 02:00:00,500.2524948333333,839.4699961666666,52.78166725,62.167498916666666
2022-10-20 03:00:00,536.3008270833333,791.37165825,71.67916691666666,84.4999985
2022-10-20 04:00:00,554.5016630833333,685.9900105,105.20833325000001,85.51500066666667
2022-10-20 05:00:00,610.1791636666667,646.09916675,138.36583141666668,106.29749991666667
2022-10-20 06:00:00,623.8508301666667,726.7383320833333,186.6416665,118.54833283333333
2022-10-20 07:00:00,612.0524953333334,738.0774942500001,210.87999858333333,123.01250008333334
2022-10-20 08:00:00,628.4241639166667,774.6249999166666,231.73166766666668,139.94500091666666
2022-10-20 09:00:00,729.2791696666667,709.3516745000001,291.43083583333333,145.29166783333332
2022-10-20 10:00:00,846.3266602499999,621.4941710833333,310.91832991666666,121.78916666666667
2022-10-20 11:00:00,903.8925068333333,717.4383289166667,304.11833441666664,164.259166
2022-10-20 12:00:00,925.3908438333333,1056.720001,312.24500274999997,195.96000033333334
2022-10-20 13:00:00,959.3000030833333,1483.404174666667,354.0033365,201.78583258333333
2022-10-20 14:00:00,956.1791739166666,1703.0733133333333,461.290001,227.83249791666665
2022-10-20 15:00:00,946.2533263333333,1658.4649964166667,576.2391713333333,266.49083191666665
